Time, ShooterVelocity, Position X, Position Y,
14786,1980.0,38.4,26.6
14813,1980.0,38.7,27.6
14836,1980.0,39.1,28.4
14861,1980.0,39.4,29.2
14885,1980.0,39.8,30.0
14906,1980.0,40.2,30.8
14938,1980.0,40.8,31.9
14959,1980.0,41.2,32.7
14980,1980.0,41.7,33.5
15001,1980.0,42.2,34.3
15022,1980.0,42.8,35.1
15045,1980.0,43.4,36.0
15069,1980.0,44.1,37.0
15097,1980.0,44.8,38.0
15127,1980.0,45.7,39.2
15152,2000.0,46.4,40.2
15188,1980.0,47.5,41.6
15221,1980.0,48.5,42.9
15252,2000.0,49.4,44.1
15307,2000.0,51.0,46.2
15340,1980.0,52.0,47.5
15371,1940.0,53.0,48.7
15400,1920.0,53.7,49.9
15429,1900.0,54.5,51.0
15457,1900.0,55.2,52.2
15492,1880.0,55.8,53.4
15524,1900.0,56.5,54.7
15550,1900.0,57.0,55.7
15577,1900.0,57.5,56.8
15608,1900.0,57.9,57.9
15634,1900.0,58.3,58.9
15655,1900.0,58.7,59.7
15681,1880.0,59.0,60.5
15723,1900.0,59.6,62.1
15747,1880.0,59.9,63.0
15769,1880.0,60.2,63.8
15815,1860.0,60.8,65.5
15844,1880.0,61.1,66.5
15876,1880.0,61.5,67.7
15903,1860.0,61.7,68.7
15929,1860.0,61.9,69.7
15960,1860.0,62.1,70.8
15988,1860.0,62.3,71.9
16016,1840.0,62.5,72.9
16040,1840.0,62.6,73.8
16071,1860.0,62.9,74.8
16102,1840.0,63.1,75.7
16135,1840.0,63.3,76.7
16163,1840.0,63.5,77.3
16193,1840.0,63.7,77.9
16233,1820.0,64.0,78.7
16261,1820.0,64.1,79.2
16285,1800.0,64.3,79.5
16332,1820.0,64.5,80.0
16360,1840.0,64.6,80.3
16386,1820.0,64.7,80.5
16413,1820.0,64.8,80.7
16437,1800.0,64.8,80.8
16465,1820.0,64.9,81.0
16490,1820.0,64.9,81.0
16518,1800.0,64.9,81.1
16548,1800.0,64.9,81.1
16583,1820.0,64.9,80.9
16613,1780.0,64.9,80.6
16638,1780.0,64.8,80.3
16671,1800.0,64.8,79.7
16697,1780.0,64.8,79.2
16727,1780.0,64.7,78.5
16763,1760.0,64.7,77.5
16786,1760.0,64.7,76.9
16811,1760.0,64.7,76.1
16861,1760.0,64.7,74.5
16891,1760.0,64.6,73.6
16926,1740.0,64.6,72.5
16953,1740.0,64.6,71.6
16980,1760.0,64.6,70.8
17007,1740.0,64.6,70.0
17032,1740.0,64.6,69.2
17057,1740.0,64.7,68.4
17084,1740.0,64.8,67.6
17120,1740.0,64.9,66.6
17153,1760.0,65.1,65.7
17190,1740.0,65.4,64.6
17220,1760.0,65.6,63.8
17252,1760.0,66.0,62.9
17299,1760.0,66.5,61.8
17333,1760.0,67.0,60.9
17399,1760.0,68.1,59.5
17434,1760.0,68.8,58.7
17474,1760.0,69.7,57.9
17515,1760.0,70.7,57.2
17549,1780.0,71.6,56.8
17581,1760.0,72.5,56.4
17613,1780.0,73.4,56.1
17643,1780.0,74.3,55.8
17672,1780.0,75.2,55.6
17703,1780.0,76.3,55.3
17736,1800.0,77.3,55.0
17763,1800.0,78.3,54.7
17789,1800.0,79.2,54.5
17822,1800.0,80.4,54.2
17852,1800.0,81.4,53.9
17903,1800.0,83.5,53.4
17930,1800.0,84.5,53.1
17957,1820.0,85.6,52.8
17988,1820.0,86.8,52.3
18018,1800.0,88.2,51.8
18046,1820.0,89.3,51.2
18074,1800.0,90.5,50.6
18103,1820.0,91.7,50.0
18131,1820.0,92.7,49.3
18160,1820.0,93.8,48.5
18191,1840.0,94.8,47.7
18224,1820.0,95.7,46.9
18254,1840.0,96.5,46.3
